Datetime,Ticker,Open,High,Low,Close,Adj Close,Volume,Return,MA_5,MA_20,Price_Change,High_Low_Spread,Price_Used,Ingestion_Timestamp_UTC
2026-04-27 13:30:00+00:00,AAPL,266.0899963378906,267.8800048828125,265.07000732421875,266.1499938964844,266.1499938964844,4317221,,,,,2.80999755859375,Adj Close,2026-04-27 23:31:08
2026-04-27 13:35:00+00:00,AAPL,266.17999267578125,267.25,266.10198974609375,267.19989013671875,267.19989013671875,1185064,0.003944753951949043,,,1.049896240234375,1.14801025390625,Adj Close,2026-04-27 23:31:08
2026-04-27 13:40:00+00:00,AAPL,267.1700134277344,267.739990234375,267.0299987792969,267.4849853515625,267.4849853515625,719882,0.001066973548147221,,,0.28509521484375,0.709991455078125,Adj Close,2026-04-27 23:31:08
2026-04-27 13:45:00+00:00,AAPL,267.4949951171875,268.1199951171875,267.30999755859375,267.9700012207031,267.9700012207031,745855,0.0018132452126355947,,,0.485015869140625,0.80999755859375,Adj Close,2026-04-27 23:31:08
2026-04-27 13:50:00+00:00,AAPL,267.9798889160156,268.239990234375,267.4200134277344,267.9100036621094,267.9100036621094,635578,-0.00022389654931687097,267.3429748535156,,-0.05999755859375,0.819976806640625,Adj Close,2026-04-27 23:31:08
2026-04-27 13:55:00+00:00,AAPL,267.8699951171875,268.3599853515625,267.6300048828125,268.1300048828125,268.1300048828125,499868,0.0008211758340332942,267.7389770507813,,0.220001220703125,0.72998046875,Adj Close,2026-04-27 23:31:08
2026-04-27 14:00:00+00:00,AAPL,268.1199951171875,268.20001220703125,267.2449951171875,267.2580871582031,267.2580871582031,465820,-0.0032518468978899318,267.7506164550781,,-0.871917724609375,0.95501708984375,Adj Close,2026-04-27 23:31:08
2026-04-27 14:05:00+00:00,AAPL,267.260009765625,267.5299987792969,267.1099853515625,267.489990234375,267.489990234375,388711,0.0008677121004558863,267.7516174316406,,0.231903076171875,0.420013427734375,Adj Close,2026-04-27 23:31:08
2026-04-27 14:10:00+00:00,AAPL,267.4849853515625,268.0,267.1300048828125,267.3900146484375,267.3900146484375,378390,-0.000373754493952827,267.6356201171875,,-0.0999755859375,0.8699951171875,Adj Close,2026-04-27 23:31:08
2026-04-27 14:15:00+00:00,AAPL,267.385009765625,267.7398986816406,267.31500244140625,267.6600036621094,267.6600036621094,295329,0.001009719880627813,267.5856201171875,,0.269989013671875,0.424896240234375,Adj Close,2026-04-27 23:31:08
2026-04-27 14:20:00+00:00,AAPL,267.6400146484375,267.64910888671875,267.31500244140625,267.42999267578125,267.42999267578125,363241,-0.000859340144889531,267.44561767578125,,-0.230010986328125,0.3341064453125,Adj Close,2026-04-27 23:31:08
2026-04-27 14:25:00+00:00,AAPL,267.42999267578125,267.45001220703125,267.17999267578125,267.3599853515625,267.3599853515625,224108,-0.00026177813310424014,267.46599731445315,,-0.07000732421875,0.27001953125,Adj Close,2026-04-27 23:31:08
